ZIP Code,DMV ID,Vehicle Name,Registration Valid Date,Registration Expiration Date
43026,1,BMW i3,6/3/19,
43026,1,BMW i3,6/3/19,
43026,1,BMW i3,6/3/19,
43026,1,BMW i3,6/3/19,
43026,1,BMW i3,6/3/19,
43026,1,BMW i3,6/3/19,
43026,1,BMW i3,6/3/19,
43026,1,BMW i3,6/3/19,
43026,1,BMW i3,6/3/19,
43026,1,BMW i3,6/3/19,
43026,1,BMW i3,6/3/19,
43026,1,BMW i3,6/3/19,
43026,1,BMW i3,6/3/19,
43026,1,BMW i3,6/3/19,
43026,1,BMW i3,6/3/19,
43026,1,BMW i3,6/3/19,
43026,1,BMW i3,6/3/19,
43026,1,BMW i3,6/3/19,
43026,1,BMW i3,6/3/19,
43026,1,BMW i3,6/3/19,
43026,1,BMW i3,6/3/19,
43026,1,BMW i3,6/3/19,
43026,1,BMW i3,6/3/19,
43026,1,BMW i3,6/3/19,
43026,1,BMW i3,6/3/19,
43026,1,BMW i3,6/3/19,
43026,1,BMW i3,6/3/19,
43026,1,BMW i3,6/3/19,
43026,1,BMW i3,6/3/19,
43026,1,BMW i3,6/3/19,
43026,1,BMW i3,6/3/19,
43026,1,BMW i3,6/3/19,
43026,1,BMW i3,6/3/19,
43026,1,BMW i8,6/3/19,
43026,1,BMW i8,6/3/19,
43026,1,BMW i8,6/3/19,
43026,1,BMW i8,6/3/19,
43026,1,BMW i8,6/3/19,
43026,1,BMW i8,6/3/19,
43026,1,BMW i8,6/3/19,
43026,1,BMW i8,6/3/19,
43026,1,BMW i8,6/3/19,
43026,1,BMW i8,6/3/19,
43026,1,BMW i8,6/3/19,
43026,1,BMW i8,6/3/19,
43026,1,BMW i8,6/3/19,
43026,1,BMW i8,6/3/19,
43026,1,BMW i8,6/3/19,
43026,1,BMW i8,6/3/19,
43026,1,BMW i8,6/3/19,
43026,1,BMW i8,6/3/19,
43026,1,BMW i8,6/3/19,
46278,1,Chevrolet Volt,6/3/19,
47115,1,Tesla Model S,6/3/19,
47715,1,Tesla Model 3,6/3/19,
47715,1,Tesla Model S,6/3/19,
47715,1,Tesla Model S,6/3/19,
48126,1,Ford Focus EV,6/3/19,
48126,1,Ford Focus EV,6/3/19,
48126,1,Ford Fusion Energi,6/3/19,
48126,1,Ford Fusion Energi,6/3/19,
48126,1,Ford Fusion Energi,6/3/19,
48126,1,Ford Fusion Energi,6/3/19,
48603,1,Chevrolet Volt,6/3/19,
50273,1,Ford Fusion Energi,6/3/19,
53005,1,Tesla Model 3,6/3/19,
54304,1,Tesla Model S,6/3/19,
54902,1,Tesla Model S,6/3/19,
54902,1,Tesla Model S,6/3/19,
54902,1,Tesla Model S,6/3/19,
54902,1,Tesla Model S,6/3/19,
54902,1,Tesla Model S,6/3/19,
54902,1,Tesla Model S,6/3/19,
54902,1,Tesla Model S,6/3/19,
54902,1,Tesla Model S,6/3/19,
54902,1,Tesla Model S,6/3/19,
54902,1,Tesla Model S,6/3/19,
54902,1,Tesla Model S,6/3/19,
54902,1,Tesla Model S,6/3/19,
54902,1,Tesla Model S,6/3/19,
54902,1,Tesla Model S,6/3/19,
54902,1,Tesla Model S,6/3/19,
54902,1,Tesla Model X,6/3/19,
54902,1,Tesla Model X,6/3/19,
54902,1,Tesla Model X,6/3/19,
54902,1,Tesla Model X,6/3/19,
54902,1,Tesla Model X,6/3/19,
54902,1,Tesla Model X,6/3/19,
54902,1,Toyota Prius Prime,6/3/19,
54903,1,Tesla Model S,6/3/19,
55439,1,Chevrolet Bolt EV,6/3/19,
55439,1,Chevrolet Volt,6/3/19,
60015,1,Ford Fusion Energi,6/3/19,
60015,1,Ford Fusion Energi,6/3/19,
60015,1,Ford Fusion Energi,6/3/19,
60181,1,Ford Fusion Energi,6/3/19,
61348,1,BMW i3,6/3/19,
63105,1,Tesla Model 3,6/3/19,
63105,1,Tesla Model 3,6/3/19,
63105,1,Tesla Model 3,6/3/19,
63105,1,Tesla Model S,6/3/19,
63132,1,Tesla Model 3,6/3/19,
63132,1,Tesla Model 3,6/3/19,
63179,1,Ford Fusion Energi,6/3/19,
64093,1,Tesla Model 3,6/3/19,
64836,1,Tesla Model 3,6/3/19,
66503,1,Chevrolet Volt,6/3/19,
68005,1,Chevrolet Volt,6/3/19,
68022,1,Tesla Model S,6/3/19,
70634,1,Tesla Model 3,6/3/19,
71106,1,Tesla Model X,6/3/19,
73026,1,BMW i8,6/3/19,
74523,1,Chevrolet Spark,6/3/19,
75001,1,BMW i3,6/3/19,
75001,1,BMW i3,6/3/19,
75001,1,Fiat 500e,6/3/19,
75001,1,Fiat 500e,6/3/19,
75001,1,Nissan Leaf,6/3/19,
75001,1,Nissan Leaf,6/3/19,
75001,1,Tesla Model 3,6/3/19,
75001,1,Tesla Model 3,6/3/19,
75001,1,Tesla Model 3,6/3/19,
75001,1,Tesla Model 3,6/3/19,
75001,1,Tesla Model 3,6/3/19,
75001,1,Tesla Model 3,6/3/19,
75001,1,Tesla Model 3,6/3/19,
75001,1,Tesla Model 3,6/3/19,
75001,1,Tesla Model 3,6/3/19,
75001,1,Tesla Model 3,6/3/19,
75001,1,Tesla Model 3,6/3/19,
75001,1,Tesla Model 3,6/3/19,
75001,1,Tesla Model S,6/3/19,
75001,1,Tesla Model S,6/3/19,
75001,1,Tesla Model S,6/3/19,
75001,1,Tesla Model S,6/3/19,
75001,1,BMW i8,6/3/19,
75001,1,Ford Fusion Energi,6/3/19,
75001,1,Chevrolet Volt,6/3/19,
75001,1,Chevrolet Volt,6/3/19,
75001,1,Chevrolet Volt,6/3/19,
75002,1,BMW i3,6/3/19,
75002,1,BMW i3,6/3/19,
75002,1,Chevrolet Bolt EV,6/3/19,
75002,1,Chevrolet Bolt EV,6/3/19,
75002,1,Chevrolet Bolt EV,6/3/19,
75002,1,Chevrolet Bolt EV,6/3/19,
75002,1,Chevrolet Bolt EV,6/3/19,
75002,1,Ford Focus EV,6/3/19,
75002,1,Nissan Leaf,6/3/19,
75002,1,Nissan Leaf,6/3/19,
75002,1,Nissan Leaf,6/3/19,
75002,1,Nissan Leaf,6/3/19,
75002,1,Nissan Leaf,6/3/19,
75002,1,Nissan Leaf,6/3/19,
75002,1,Tesla Model 3,6/3/19,
75002,1,Tesla Model 3,6/3/19,
75002,1,Tesla Model 3,6/3/19,
75002,1,Tesla Model 3,6/3/19,
75002,1,Tesla Model 3,6/3/19,
75002,1,Tesla Model 3,6/3/19,
75002,1,Tesla Model 3,6/3/19,
75002,1,Tesla Model 3,6/3/19,
75002,1,Tesla Model 3,6/3/19,
75002,1,Tesla Model 3,6/3/19,
75002,1,Tesla Model 3,6/3/19,
75002,1,Tesla Model 3,6/3/19,
75002,1,Tesla Model 3,6/3/19,
